Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Sep 22, 2021",144.45,146.43,143.70,145.85,143.13,"76,404,300"
"Sep 21, 2021",143.93,144.60,142.78,143.43,140.76,"75,834,000"
"Sep 20, 2021",143.80,144.84,141.27,142.94,140.28,"123,478,900"
"Sep 17, 2021",148.82,148.82,145.76,146.06,143.34,"129,868,800"
"Sep 16, 2021",148.44,148.97,147.22,148.79,146.02,"68,034,100"
"Sep 15, 2021",148.56,149.44,146.37,149.03,146.25,"83,281,300"
"Sep 14, 2021",150.35,151.07,146.91,148.12,145.36,"109,296,300"
"Sep 13, 2021",150.63,151.42,148.75,149.55,146.76,"102,404,300"
"Sep 10, 2021",155.00,155.48,148.70,148.97,146.19,"140,893,200"
"Sep 9, 2021",155.49,156.11,153.95,154.07,151.20,"57,305,700"
"Sep 8, 2021",156.98,157.04,153.98,155.11,152.22,"74,420,200"
"Sep 7, 2021",154.97,157.26,154.39,156.69,153.77,"82,278,300"
"Sep 3, 2021",153.76,154.63,153.09,154.30,151.43,"57,808,700"
"Sep 2, 2021",153.87,154.72,152.40,153.65,150.79,"71,115,500"
"Sep 1, 2021",152.83,154.98,152.34,152.51,149.67,"80,313,700"
"Aug 31, 2021",152.66,152.80,151.29,151.83,149.00,"86,453,100"
"Aug 30, 2021",149.00,153.49,148.61,153.12,150.27,"90,956,700"
"Aug 27, 2021",147.48,148.75,146.83,148.60,145.83,"55,802,400"
"Aug 26, 2021",148.35,149.12,147.51,147.54,144.79,"48,597,200"
"Aug 25, 2021",149.81,150.32,147.80,148.36,145.60,"58,991,300"
"Aug 24, 2021",149.45,150.86,149.15,149.62,146.83,"48,606,400"
"Aug 23, 2021",148.31,150.19,147.89,149.71,146.92,"60,131,800"
"Aug 20, 2021",147.44,148.50,146.78,148.19,145.43,"60,549,600"
"Aug 19, 2021",145.03,148.00,144.50,146.70,143.97,"86,960,300"
"Aug 18, 2021",149.80,150.72,146.15,146.36,143.63,"86,326,000"
"Aug 17, 2021",150.23,151.68,149.09,150.19,147.39,"92,229,700"
"Aug 16, 2021",148.54,151.19,146.47,151.12,148.30,"103,296,000"
"Aug 13, 2021",148.97,149.44,148.27,149.10,146.32,"59,375,000"
"Aug 12, 2021",146.19,149.05,145.84,148.89,146.12,"72,282,600"
"Aug 11, 2021",146.05,146.72,145.53,145.86,143.14,"48,493,500"
"Aug 10, 2021",146.44,147.71,145.30,145.60,142.89,"69,023,100"
"Aug 9, 2021",146.20,146.70,145.52,146.09,143.37,"48,908,700"
"Aug 6, 2021",0.22Dividend
"Aug 6, 2021",146.35,147.11,145.63,146.14,143.42,"54,126,800"
"Aug 5, 2021",146.98,147.84,146.17,147.06,144.10,"46,397,700"
"Aug 4, 2021",147.27,147.79,146.28,146.95,144.00,"56,368,300"
"Aug 3, 2021",145.81,148.04,145.18,147.36,144.40,"64,786,600"
"Aug 2, 2021",146.36,146.95,145.25,145.52,142.60,"62,880,000"
"Jul 30, 2021",144.38,146.33,144.11,145.86,142.93,"70,440,600"
"Jul 29, 2021",144.69,146.55,144.58,145.64,142.71,"56,699,500"
"Jul 28, 2021",144.81,146.97,142.54,144.98,142.07,"118,931,200"
"Jul 27, 2021",149.12,149.21,145.55,146.77,143.82,"104,818,600"
"Jul 26, 2021",148.27,149.83,147.70,148.99,146.00,"72,434,100"
"Jul 23, 2021",147.55,148.72,146.92,148.56,145.57,"71,447,400"
"Jul 22, 2021",145.94,148.20,145.81,146.80,143.85,"77,338,200"
"Jul 21, 2021",145.53,146.13,144.63,145.40,142.48,"74,993,500"
"Jul 20, 2021",143.46,147.10,142.96,146.15,143.21,"96,350,000"
"Jul 19, 2021",143.75,144.07,141.67,142.45,139.59,"121,434,600"
"Jul 16, 2021",148.46,149.76,145.88,146.39,143.45,"93,251,400"
"Jul 15, 2021",149.24,150.00,147.09,148.48,145.50,"106,820,300"
"Jul 14, 2021",148.10,149.57,147.68,149.15,146.15,"127,050,800"
"Jul 13, 2021",144.03,147.46,143.63,145.64,142.71,"100,827,100"
"Jul 12, 2021",146.21,146.32,144.00,144.50,141.60,"76,299,700"
"Jul 9, 2021",142.75,145.65,142.65,145.11,142.19,"99,890,800"
"Jul 8, 2021",141.58,144.06,140.67,143.24,140.36,"105,575,500"
"Jul 7, 2021",143.54,144.89,142.66,144.57,141.66,"104,911,600"
"Jul 6, 2021",140.07,143.15,140.07,142.02,139.17,"108,181,800"
"Jul 2, 2021",137.90,140.00,137.75,139.96,137.15,"78,852,600"
"Jul 1, 2021",136.60,137.33,135.76,137.27,134.51,"52,485,800"
"Jun 30, 2021",136.17,137.41,135.87,136.96,134.21,"63,261,400"
"Jun 29, 2021",134.80,136.49,134.35,136.33,133.59,"64,556,100"
"Jun 28, 2021",133.41,135.25,133.35,134.78,132.07,"62,111,300"
"Jun 25, 2021",133.46,133.89,132.81,133.11,130.43,"70,783,700"
"Jun 24, 2021",134.45,134.64,132.93,133.41,130.73,"68,711,000"
"Jun 23, 2021",133.77,134.32,133.23,133.70,131.01,"60,214,200"
"Jun 22, 2021",132.13,134.08,131.62,133.98,131.29,"74,783,600"
"Jun 21, 2021",130.30,132.41,129.21,132.30,129.64,"79,663,300"
"Jun 18, 2021",130.71,131.51,130.24,130.46,127.84,"108,953,300"
"Jun 17, 2021",129.80,132.55,129.65,131.79,129.14,"96,721,700"
"Jun 16, 2021",130.37,130.89,128.46,130.15,127.53,"91,815,000"
"Jun 15, 2021",129.94,130.60,129.39,129.64,127.03,"62,746,300"
"Jun 14, 2021",127.82,130.54,127.07,130.48,127.86,"96,906,500"
"Jun 11, 2021",126.53,127.44,126.10,127.35,124.79,"53,522,400"
"Jun 10, 2021",127.02,128.19,125.94,126.11,123.58,"71,186,400"
"Jun 9, 2021",127.21,127.75,126.52,127.13,124.57,"56,877,900"
"Jun 8, 2021",126.60,128.46,126.21,126.74,124.19,"74,403,800"
"Jun 7, 2021",126.17,126.32,124.83,125.90,123.37,"71,057,600"
"Jun 4, 2021",124.07,126.16,123.85,125.89,123.36,"75,169,300"
"Jun 3, 2021",124.68,124.85,123.13,123.54,121.06,"76,229,200"
"Jun 2, 2021",124.28,125.24,124.05,125.06,122.55,"59,278,900"
"Jun 1, 2021",125.08,125.35,123.94,124.28,121.78,"67,637,100"
"May 28, 2021",125.57,125.80,124.55,124.61,122.11,"71,311,100"
"May 27, 2021",126.44,127.64,125.08,125.28,122.76,"94,625,600"
"May 26, 2021",126.96,127.39,126.42,126.85,124.30,"56,575,900"
"May 25, 2021",127.82,128.32,126.32,126.90,124.35,"72,009,500"
"May 24, 2021",126.01,127.94,125.94,127.10,124.55,"63,092,900"
"May 21, 2021",127.82,128.00,125.21,125.43,122.91,"79,295,400"
"May 20, 2021",125.23,127.72,125.10,127.31,124.75,"76,857,100"
"May 19, 2021",123.16,124.92,122.86,124.69,122.18,"92,612,000"
"May 18, 2021",126.56,126.99,124.78,124.85,122.34,"63,342,900"
"May 17, 2021",126.82,126.93,125.17,126.27,123.73,"74,244,600"
"May 14, 2021",126.25,127.89,125.85,127.45,124.89,"81,918,000"
"May 13, 2021",124.58,126.15,124.26,124.97,122.46,"105,861,300"
"May 12, 2021",123.40,124.64,122.25,122.77,120.30,"112,172,300"
"May 11, 2021",123.50,126.27,122.77,125.91,123.38,"126,142,800"
"May 10, 2021",129.41,129.54,126.81,126.85,124.30,"88,071,200"
"May 7, 2021",0.22Dividend
"May 7, 2021",130.85,131.26,129.48,130.21,127.59,"78,973,300"
"May 6, 2021",127.89,129.75,127.13,129.74,126.92,"78,128,300"
"May 5, 2021",129.20,130.45,127.97,128.10,125.31,"84,000,900"
"May 4, 2021",131.19,131.49,126.70,127.85,125.07,"137,564,700"
"May 3, 2021",132.04,134.07,131.83,132.54,129.66,"75,135,100"
"Apr 30, 2021",131.78,133.56,131.07,131.46,128.60,"109,839,500"
"Apr 29, 2021",136.47,137.07,132.45,133.48,130.58,"151,101,000"
"Apr 28, 2021",134.31,135.02,133.08,133.58,130.67,"107,760,100"
"Apr 27, 2021",135.01,135.41,134.11,134.39,131.47,"66,015,800"
"Apr 26, 2021",134.83,135.06,133.56,134.72,131.79,"66,905,100"
"Apr 23, 2021",132.16,135.12,132.16,134.32,131.40,"78,657,500"
"Apr 22, 2021",133.04,134.15,131.41,131.94,129.07,"84,566,500"
"Apr 21, 2021",132.36,133.75,131.30,133.50,130.60,"68,847,100"
"Apr 20, 2021",135.02,135.53,131.81,133.11,130.21,"94,812,300"
"Apr 19, 2021",133.51,135.47,133.34,134.84,131.91,"94,264,200"
"Apr 16, 2021",134.30,134.67,133.28,134.16,131.24,"84,922,400"
"Apr 15, 2021",133.82,135.00,133.64,134.50,131.57,"89,347,100"
"Apr 14, 2021",134.94,135.00,131.66,132.03,129.16,"87,222,800"
"Apr 13, 2021",132.44,134.66,131.93,134.43,131.50,"91,266,500"
"Apr 12, 2021",132.52,132.85,130.63,131.24,128.38,"91,420,000"
"Apr 9, 2021",129.80,133.04,129.47,133.00,130.11,"106,686,700"
"Apr 8, 2021",128.95,130.39,128.52,130.36,127.52,"88,844,600"
"Apr 7, 2021",125.83,127.92,125.14,127.90,125.12,"83,466,700"
"Apr 6, 2021",126.50,127.13,125.65,126.21,123.46,"80,171,300"
"Apr 5, 2021",123.87,126.16,123.07,125.90,123.16,"88,651,200"
"Apr 1, 2021",123.66,124.18,122.49,123.00,120.32,"75,089,100"
"Mar 31, 2021",121.65,123.52,121.15,122.15,119.49,"118,323,800"
"Mar 30, 2021",120.11,120.40,118.86,119.90,117.29,"85,671,900"
"Mar 29, 2021",121.65,122.58,120.73,121.39,118.75,"80,819,200"
"Mar 26, 2021",120.35,121.48,118.92,121.21,118.57,"94,071,200"
"Mar 25, 2021",119.54,121.66,119.00,120.59,117.97,"98,844,700"
"Mar 24, 2021",122.82,122.90,120.07,120.09,117.48,"88,530,500"
"Mar 23, 2021",123.33,124.24,122.14,122.54,119.87,"95,467,100"
"Mar 22, 2021",120.33,123.87,120.26,123.39,120.71,"111,912,300"
"Mar 19, 2021",119.90,121.43,119.68,119.99,117.38,"185,549,500"
"Mar 18, 2021",122.88,123.18,120.32,120.53,117.91,"121,229,700"
"Mar 17, 2021",124.05,125.86,122.34,124.76,122.05,"111,932,600"
"Mar 16, 2021",125.70,127.22,124.72,125.57,122.84,"115,227,900"
"Mar 15, 2021",121.41,124.00,120.42,123.99,121.29,"92,403,800"
"Mar 12, 2021",120.40,121.17,119.16,121.03,118.40,"88,105,100"
"Mar 11, 2021",122.54,123.21,121.26,121.96,119.31,"103,026,500"
"Mar 10, 2021",121.69,122.17,119.45,119.98,117.37,"111,943,300"
"Mar 9, 2021",119.03,122.06,118.79,121.09,118.46,"129,525,800"
"Mar 8, 2021",120.93,121.00,116.21,116.36,113.83,"154,376,600"
"Mar 5, 2021",120.98,121.94,117.57,121.42,118.78,"153,766,600"
"Mar 4, 2021",121.75,123.60,118.62,120.13,117.52,"178,155,000"
"Mar 3, 2021",124.81,125.71,121.84,122.06,119.40,"112,966,300"
"Mar 2, 2021",128.41,128.72,125.01,125.12,122.40,"102,260,900"
"Mar 1, 2021",123.75,127.93,122.79,127.79,125.01,"116,307,900"
"Feb 26, 2021",122.59,124.85,121.20,121.26,118.62,"164,560,400"
"Feb 25, 2021",124.68,126.46,120.54,120.99,118.36,"148,199,500"
"Feb 24, 2021",124.94,125.56,122.23,125.35,122.62,"111,039,900"
"Feb 23, 2021",123.76,126.71,118.39,125.86,123.12,"158,273,000"
"Feb 22, 2021",128.01,129.72,125.60,126.00,123.26,"103,916,400"
"Feb 19, 2021",130.24,130.71,128.80,129.87,127.04,"87,668,800"
"Feb 18, 2021",129.20,130.00,127.41,129.71,126.89,"96,856,700"
"Feb 17, 2021",131.25,132.22,129.47,130.84,127.99,"97,918,500"
"Feb 16, 2021",135.49,136.01,132.79,133.19,130.29,"80,576,300"
"Feb 12, 2021",134.35,135.53,133.69,135.37,132.42,"60,145,100"
"Feb 11, 2021",135.90,136.39,133.77,135.13,132.19,"64,280,000"
"Feb 10, 2021",136.48,136.99,134.40,135.39,132.44,"73,046,600"
"Feb 9, 2021",136.62,137.88,135.85,136.01,133.05,"76,774,200"
"Feb 8, 2021",136.03,136.96,134.92,136.91,133.93,"71,297,200"
"Feb 5, 2021",0.21Dividend
"Feb 5, 2021",137.35,137.42,135.86,136.76,133.78,"75,693,800"
"Feb 4, 2021",136.30,137.40,134.59,137.39,134.20,"84,183,100"
"Feb 3, 2021",135.76,135.77,133.61,133.94,130.83,"89,880,900"
"Feb 2, 2021",135.73,136.31,134.61,134.99,131.86,"83,305,400"
"Feb 1, 2021",133.75,135.38,130.93,134.14,131.03,"106,239,800"
"Jan 29, 2021",135.83,136.74,130.21,131.96,128.90,"177,523,800"
"Jan 28, 2021",139.52,141.99,136.70,137.09,133.91,"142,621,100"
"Jan 27, 2021",143.43,144.30,140.41,142.06,138.76,"140,843,800"
"Jan 26, 2021",143.60,144.30,141.37,143.16,139.84,"98,390,600"
"Jan 25, 2021",143.07,145.09,136.54,142.92,139.60,"157,611,700"
"Jan 22, 2021",136.28,139.85,135.02,139.07,135.84,"114,459,400"
"Jan 21, 2021",133.80,139.67,133.59,136.87,133.69,"120,150,900"
"Jan 20, 2021",128.66,132.49,128.55,132.03,128.96,"104,319,500"
"Jan 19, 2021",127.78,128.71,126.94,127.83,124.86,"90,757,300"
"Jan 15, 2021",128.78,130.22,127.00,127.14,124.19,"111,598,500"
"Jan 14, 2021",130.80,131.00,128.76,128.91,125.92,"90,221,800"
"Jan 13, 2021",128.76,131.45,128.49,130.89,127.85,"88,636,800"
"Jan 12, 2021",128.50,129.69,126.86,128.80,125.81,"91,951,100"
"Jan 11, 2021",129.19,130.17,128.50,128.98,125.99,"100,384,500"
"Jan 8, 2021",132.43,132.63,130.23,132.05,128.98,"105,158,200"
"Jan 7, 2021",128.36,131.63,127.86,130.92,127.88,"109,578,200"
"Jan 6, 2021",127.72,131.05,126.38,126.60,123.66,"155,088,000"
"Jan 5, 2021",128.89,131.74,128.43,131.01,127.97,"97,664,900"
"Jan 4, 2021",133.52,133.61,126.76,129.41,126.41,"143,301,900"
"Dec 31, 2020",134.08,134.74,131.72,132.69,129.61,"99,116,600"
"Dec 30, 2020",135.58,135.99,133.40,133.72,130.62,"96,452,100"
"Dec 29, 2020",138.05,138.79,134.34,134.87,131.74,"121,047,300"
"Dec 28, 2020",133.99,137.34,133.51,136.69,133.52,"124,486,200"
"Dec 24, 2020",131.32,133.46,131.10,131.97,128.91,"54,930,100"
"Dec 23, 2020",132.16,132.43,130.78,130.96,127.92,"88,223,700"
"Dec 22, 2020",131.61,134.41,129.65,131.88,128.82,"168,904,800"
"Dec 21, 2020",125.02,128.31,123.45,128.23,125.25,"121,251,600"
"Dec 18, 2020",128.96,129.10,126.12,126.66,123.72,"192,541,500"
